"record_id";"tender_id";"tag_id"
"995637563";"34666282";"2"
"995994903";"34673642";"2"
"1006232220";"34761096";"2"
"1007706749";"34800957";"2"
"1009124303";"34845254";"2"
"1010256901";"34860968";"2"
"1010637637";"34869978";"2"
"1011025064";"34891196";"2"
"1011827565";"34906290";"2"
"1011827562";"34906299";"2"
"1013982381";"34958212";"2"
"1015786925";"34986696";"2"
"1023495301";"35076631";"2"
"1023856999";"35078329";"2"
"1025943897";"35127814";"2"
"173827734";"22957251";"3"
"177114959";"23054609";"3"
"178001044";"23081012";"3"
"178471946";"23102808";"3"
"178798041";"23110424";"3"
"207839359";"23686034";"3"
"242646759";"24570462";"3"
"242820237";"24574624";"3"
"275225825";"25024565";"3"
"280043849";"25038778";"3"
"280933626";"25095451";"3"
"281990538";"25115001";"3"
"300050795";"25410414";"3"
"301300455";"25412857";"3"
"306599419";"25522666";"3"
"316632126";"25680320";"3"
"321359750";"25714411";"3"
"322074171";"25721975";"3"
"332802933";"25817804";"3"
"332802932";"25817807";"3"
"333850365";"25835364";"3"
"343128230";"25952147";"3"
"350752922";"26061703";"3"
"363560446";"26223435";"3"
"380476809";"26418737";"3"
"402407673";"26638576";"3"
"414241178";"26783272";"3"
"423939409";"26885334";"3"
"442581899";"27374436";"3"
"454573766";"27530692";"3"
"465398254";"27653973";"3"
"467801949";"27684476";"3"
"475943435";"27772319";"3"
"489010381";"27945565";"3"
"502663002";"28090851";"3"
"533298943";"28404988";"3"
"533298921";"28406309";"3"
"572455150";"28846666";"3"
"586955009";"29023282";"3"
"594133096";"29133355";"3"
"607943714";"29254447";"3"
"627933845";"29494517";"3"
"629813587";"29510458";"3"
"666583354";"30029993";"3"
"729335531";"30719964";"3"
"783034145";"31438847";"3"
"795131422";"31529813";"3"
"806224833";"31669298";"3"
"864135346";"32333189";"3"
"877849566";"32465275";"3"
"881811551";"32518389";"3"
"881811550";"32518405";"3"
"882963792";"32522752";"3"
"887360054";"32560038";"3"
"887360051";"32560218";"3"
"907660869";"32750993";"3"
"923173895";"32898578";"3"
"923501035";"32906118";"3"
"923501025";"32907721";"3"
"951812711";"33504146";"3"
"956254848";"33643350";"3"
"962211486";"33870111";"3"
"978253311";"34303099";"3"
"980161030";"34350911";"3"
"142435470";"22170851";"4"
"142434549";"22224358";"4"
"142432998";"22333244";"4"
"144378246";"22371985";"4"
"148427979";"22420105";"4"
"152205444";"22541713";"4"
"168333334";"22839082";"4"
"178800033";"23110237";"4"
"207562829";"23676196";"4"
"275719823";"25047366";"4"
"285964853";"25192225";"4"
"292373709";"25307449";"4"
"309902517";"25567085";"4"
"324428557";"25760288";"4"
"425434773";"26908174";"4"
"486268460";"27898948";"4"
"501114745";"28022048";"4"
"501478857";"28045919";"4"
"502044961";"28078815";"4"
"511465148";"28188805";"4"
"534248854";"28412469";"4"
"547412550";"28536951";"4"
"548701868";"28554494";"4"
"558624223";"28689683";"4"
"559791839";"28706061";"4"
"570853943";"28826726";"4"
"572779471";"28853431";"4"
"592314083";"29111743";"4"
"606876240";"29223514";"4"
"610865667";"29297392";"4"
"612653683";"29326720";"4"
"619601996";"29367105";"4"
"619956201";"29372090";"4"
"620319636";"29381589";"4"
"621743992";"29394800";"4"
"621743936";"29397315";"4"
"621743933";"29397340";"4"
"621743920";"29397889";"4"
"621743919";"29397893";"4"
"622080175";"29399778";"4"
"622080174";"29399787";"4"
"622080173";"29399788";"4"
"622423719";"29411730";"4"
"622774911";"29420072";"4"
"630544647";"29525278";"4"
"641548033";"29622739";"4"
"665816005";"30013967";"4"
"694487131";"30177758";"4"
"712364766";"30447446";"4"
"737948823";"30826097";"4"
"743907552";"30923102";"4"
"774193821";"31303274";"4"
"793685700";"31505013";"4"
"795411050";"31534698";"4"
"808475026";"31707367";"4"
"836929181";"31988467";"4"
"850946388";"32196159";"4"
"934145138";"33121584";"4"
"983477793";"34429817";"4"
"983477792";"34429819";"4"
"1006251217";"34753826";"4"
"441647854";"27362235";"6"
"502668378";"28090851";"6"
"560418821";"28719471";"6"
"620700808";"29386160";"6"
"873573646";"32417490";"6"
"875598210";"32442584";"6"
"893900887";"32644928";"6"
"935201177";"33160377";"6"
"1011850696";"34906299";"6"
"142441923";"21829658";"7"
"142439632";"22312769";"7"
"162052147";"22706231";"7"
"273856543";"24991662";"7"
"333855542";"25834199";"7"
"345298811";"25981981";"7"
"378245165";"26375983";"7"
"404195573";"26662062";"7"
"412378066";"26749228";"7"
"425880220";"26916157";"7"
"434730891";"27300676";"7"
"480640602";"27843485";"7"
"492781900";"27995363";"7"
"501116484";"28055510";"7"
"509352310";"28155323";"7"
"524605499";"28324895";"7"
"570537309";"28818752";"7"
"573114376";"28860633";"7"
"602801888";"29187631";"7"
"755917307";"31090661";"7"
"769095118";"31264185";"7"
"812737654";"31759190";"7"
"846752705";"32126355";"7"
"847064741";"32132234";"7"
"854615401";"32247500";"7"
"874171468";"32427380";"7"
"894537083";"32636314";"7"
"926442899";"32996189";"7"
"927381793";"33017757";"7"
"988000987";"34458782";"7"
"993464927";"34604958";"7"
"160344738";"22664900";"8"
"178805075";"23109233";"8"
"275723338";"25035526";"8"
"336604039";"25884722";"8"
"402636483";"26636180";"8"
"575749407";"28907993";"8"
"589794561";"29071726";"8"
"841102435";"32052227";"8"
"952195824";"33526711";"8"
"142442987";"21946719";"11"
"157285339";"22598190";"11"
"169695827";"22890791";"11"
"175920697";"23031112";"11"
"210472372";"23788857";"11"
"219943113";"24083174";"11"
"234313177";"24433209";"11"
"249486267";"24673435";"11"
"254681269";"24750286";"11"
"280050186";"25055948";"11"
"280749574";"25095290";"11"
"281816813";"25112338";"11"
"290600875";"25265323";"11"
"293792095";"25336232";"11"
"302798979";"25460131";"11"
"306146066";"25518882";"11"
"324649385";"25767661";"11"
"332809458";"25817804";"11"
"345854019";"26011028";"11"
"363000989";"26212154";"11"
"370138688";"26293273";"11"
"372247578";"26323712";"11"
"373033789";"26343157";"11"
"379805390";"26398956";"11"
"390485692";"26510647";"11"
"392737173";"26548410";"11"
"394613101";"26582731";"11"
"402414697";"26638576";"11"
"416996389";"26822816";"11"
"437705420";"27338426";"11"
"448029132";"27472940";"11"
"449749012";"27495883";"11"
